2026-05-23 07:35:18,285 | DEBUG    | market_data.transformation | transform       | Transforming INDIANB
2026-05-23 07:35:18,285 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [INDIANB]
2026-05-23 07:35:18,286 | INFO     | market_data.signals  | generate_signal | [INDIANB] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,286 | INFO     | market_data.processor | process         | ✓ INDIANB complete
2026-05-23 07:35:18,286 | INFO     | market_data.processor | process         | Progress: 43/97 (44.3%) - Current: INDOTECH
2026-05-23 07:35:18,286 | DEBUG    | market_data.transformation | transform       | Transforming INDOTECH
2026-05-23 07:35:18,286 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [INDOTECH]
2026-05-23 07:35:18,286 | INFO     | market_data.signals  | generate_signal | [INDOTECH] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,286 | INFO     | market_data.processor | process         | ✓ INDOTECH complete
2026-05-23 07:35:18,286 | INFO     | market_data.processor | process         | Progress: 44/97 (45.4%) - Current: INDUSTOWER
2026-05-23 07:35:18,286 | DEBUG    | market_data.transformation | transform       | Transforming INDUSTOWER
2026-05-23 07:35:18,286 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [INDUSTOWER]
2026-05-23 07:35:18,286 | INFO     | market_data.signals  | generate_signal | [INDUSTOWER] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,286 | INFO     | market_data.processor | process         | ✓ INDUSTOWER complete
2026-05-23 07:35:18,286 | INFO     | market_data.processor | process         | Progress: 45/97 (46.4%) - Current: INFY
2026-05-23 07:35:18,286 | DEBUG    | market_data.transformation | transform       | Transforming INFY
2026-05-23 07:35:18,286 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [INFY]
2026-05-23 07:35:18,286 | INFO     | market_data.signals  | generate_signal | [INFY] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,287 | INFO     | market_data.processor | process         | ✓ INFY complete
2026-05-23 07:35:18,287 | INFO     | market_data.processor | process         | Progress: 46/97 (47.4%) - Current: INOXINDIA
