2026-05-17 02:00:42 | STEP1-FETCH | INFO     |   [CapEx Screener] PFC: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:42 | STEP1-FETCH | INFO     |   [CapEx Screener] POWERGRID: trying https://www.screener.in/api/v2/companies/powergrid/financials/cash-flow/
2026-05-17 02:00:43 | STEP1-FETCH | INFO     |   [CapEx Screener] POWERGRID: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:43 | STEP1-FETCH | INFO     |   [CapEx Screener] PVRINOX: trying https://www.screener.in/api/v2/companies/pvrinox/financials/cash-flow/
2026-05-17 02:00:44 | STEP1-FETCH | INFO     |   [CapEx Screener] PVRINOX: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:45 | STEP1-FETCH | INFO     |   [CapEx Screener] QUALITY: trying https://www.screener.in/api/v2/companies/qpower/financials/cash-flow/
2026-05-17 02:00:45 | STEP1-FETCH | INFO     |   [CapEx Screener] QUALITY: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:46 | STEP1-FETCH | INFO     |   [CapEx Screener] RATEGAIN: trying https://www.screener.in/api/v2/companies/rategain/financials/cash-flow/
2026-05-17 02:00:47 | STEP1-FETCH | INFO     |   [CapEx Screener] RATEGAIN: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:48 | STEP1-FETCH | INFO     |   [CapEx Screener] REDTAPE: trying https://www.screener.in/api/v2/companies/redtape/financials/cash-flow/
2026-05-17 02:00:48 | STEP1-FETCH | INFO     |   [CapEx Screener] REDTAPE: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:49 | STEP1-FETCH | INFO     |   [CapEx Screener] REPCOHOME: trying https://www.screener.in/api/v2/companies/repcohome/financials/cash-flow/
2026-05-17 02:00:50 | STEP1-FETCH | INFO     |   [CapEx Screener] REPCOHOME: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:50 | STEP1-FETCH | INFO     |   [CapEx Screener] REVATHI: trying https://www.screener.in/api/v2/companies/rvth/financials/cash-flow/
2026-05-17 02:00:51 | STEP1-FETCH | INFO     |   [CapEx Screener] REVATHI: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:52 | STEP1-FETCH | INFO     |   [CapEx Screener] ROSSTECH: trying https://www.screener.in/api/v2/companies/rosstech/financials/cash-flow/
2026-05-17 02:00:52 | STEP1-FETCH | INFO     |   [CapEx Screener] ROSSTECH: request failed - 404 Client Error: Not Found for url: https://www.screener.in
